Protein_id,Gene_id,Gene_name,Protein,Chromosome,Location
AAK87224.1,Atu1433,no name,arylesterase,AE007869.2,1427802-1428446
AAK87225.1,Atu1434,lpdA,dihydrolipoamide dehydrogenase,AE007869.2,1428507-1429952
AAK87226.2,Atu1435,no name,conserved hypothetical protein,AE007869.2,1430050-1430298
AAK87227.1,Atu1436,lipA,lipoic Acid Synthetase,AE007869.2,1430402-1431373
AAK87228.1,Atu1437,no name,conserved hypothetical protein,AE007869.2,complement(1431571-1432503)
AAK87229.2,Atu1438,no name,"transcriptional regulator, AraC family",AE007869.2,complement(1432866-1433600)
AAK87230.2,Atu1439,no name,hypothetical protein,AE007869.2,complement(1433729-1434004)
AAK87231.1,Atu1440,no name,conserved hypothetical protein,AE007869.2,1434155-1434724
AAK87232.1,Atu1441,no name,conserved hypothetical protein,AE007869.2,1434734-1435189
AAK87233.1,Atu1442,cinA,competence/damage-inducible protein CinA,AE007869.2,complement(1435171-1435680)
AAK87234.2,Atu1443,ispF,"bifunctional 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase/2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase protein",AE007869.2,complement(1435677-1436864)
AAK87235.1,Atu1444,nifR,nitrogen regulation protein,AE007869.2,1437141-1438157
AAK87236.1,Atu1445,ntrB,two component sensor kinase,AE007869.2,1438154-1439302
AAK87237.1,Atu1446,ntrC,two component response regulator,AE007869.2,1439299-1440750
AAK87238.1,Atu1447,ntrY,two component sensor kinase,AE007869.2,1440899-1443160
AAK87239.1,Atu1448,ntrX,two component response regulator,AE007869.2,1443150-1444514
AAK87240.1,Atu1449,trkA,potassium uptake protein,AE007869.2,1444563-1445939
AAL42456.1,Atu1450,hfq,putative RNA-binding protein Hfq,AE007869.2,1446124-1446366
AAK87243.2,Atu1451,hflx,GTP-binding protein HFLX,AE007869.2,1446573-1447907
AAK87244.2,Atu1452,mazG,conserved hypothetical protein,AE007869.2,complement(1448103-1448948)
AAK87245.2,Atu1453,no name,conserved hypothetical protein,AE007869.2,complement(1449024-1449611)
AAK87246.2,Atu1454,cysG,siroheme synthase,AE007869.2,1449873-1451336
AAK87247.1,Atu1455,no name,conserved hypothetical protein,AE007869.2,1451329-1451643
AAK87248.1,Atu1456,cysI,sulfite reductase (NADPH) hemoprotein beta-component,AE007869.2,1451652-1453322
AAK87249.2,Atu1457,no name,conserved hypothetical protein,AE007869.2,1453333-1453839
AAK87250.1,Atu1458,mvrA,ferredoxin NADP+ reductase,AE007869.2,1453986-1454798
AAK87251.2,Atu1459,no name,MFS permease,AE007869.2,complement(1454869-1456146)
AAK87252.1,Atu1460,no name,conserved hypothetical protein,AE007869.2,1456344-1456847
AAK87253.1,Atu1461,no name,hypothetical protein,AE007869.2,complement(1456877-1457686)
AAK87254.1,Atu1462,gcvP,glycine cleavage system protein P2,AE007869.2,complement(1457835-1460699)
AAK87255.1,Atu1463,gcvH,glycine cleavage system component H,AE007869.2,complement(1460699-1461061)
AAK87256.2,Atu1464,gcvT,"glycine cleavage system T protein, aminomethyltransferase",AE007869.2,complement(1461090-1462163)
AAL42472.1,Atu1466,no name,hypothetical protein,AE007869.2,1462627-1462980
AAK87257.2,Atu1467,no name,hypothetical protein,AE007869.2,1463055-1463435
AAK87258.1,Atu1468,no name,conserved hypothetical protein,AE007869.2,1463522-1464496
AAK87259.1,Atu1469,no name,hypothetical protein,AE007869.2,complement(1464719-1465039)
AAK87260.1,Atu1470,crcB,Camphor resistance protein,AE007869.2,1465238-1465615
AAK87261.2,Atu1471,rluC,ribosomal large subunit pseudouridine synthase C,AE007869.2,1465682-1466671
AAK87262.1,Atu1472,no name,hydrolase,AE007869.2,1466678-1467346
AAK87263.1,Atu1473,no name,conserved hypothetical protein,AE007869.2,1467377-1468171
AAK87264.1,Atu1474,no name,hypothetical protein,AE007869.2,1468232-1468720
AAK87265.1,Atu1475,no name,conserved hypothetical protein,AE007869.2,1468954-1469343
AAK87266.1,Atu1476,no name,esterase D,AE007869.2,complement(1469404-1470237)
AAK87267.1,Atu1477,no name,conserved hypothetical protein,AE007869.2,complement(1470266-1470955)
AAK87268.2,Atu1478,no name,conserved hypothetical protein,AE007869.2,complement(1470981-1471391)
AAK87269.2,Atu8157,no name,conserved hypothetical protein,AE007869.2,1471602-1472054
AAK87270.1,Atu1480,no name,conserved hypothetical protein,AE007869.2,complement(1472110-1472766)
AAK87271.2,Atu1481,no name,hypothetical protein,AE007869.2,complement(1472907-1473401)
AAK87273.2,Atu1482,no name,Conserved hypothetical protein,AE007869.2,complement(1473553-1474173)
AAK87274.1,Atu1483,no name,cytochrome b561,AE007869.2,complement(1474547-1475191)
AAK87275.1,Atu1484,prtR,transcriptional regulator,AE007869.2,complement(1475195-1475971)
AAK87276.2,Atu1485,prtI,ECF family sigma factor,AE007869.2,complement(1475968-1476474)
AAK87277.1,Atu1486,no name,conserved hypothetical protein,AE007869.2,complement(1476480-1476869)
AAK87278.2,Atu1487,no name,conserved hypothetical protein,AE007869.2,complement(1476980-1477546)
AAK87279.2,Atu1488,tnp,IS30 family transposase,AE007869.2,complement(1477722-1478723)
AAK87280.2,Atu1489,arsH,arsenical resistance protein,AE007869.2,complement(1478901-1479590)
AAK87281.2,Atu1490,arsC,arsenate reductase,AE007869.2,complement(1479604-1480026)
AAK87282.1,Atu1491,no name,sodium bile acid symporter family protein,AE007869.2,complement(1480029-1481087)
AAK87283.1,Atu1492,no name,"transcriptional regulator, ArsR family",AE007869.2,complement(1481218-1481571)
AAK87284.2,Atu1493,clc,chloride channel protein,AE007869.2,complement(1481706-1483487)
AAK87285.2,Atu1494,no name,metal dependent hydrolase,AE007869.2,complement(1483588-1484412)
AAK87286.2,Atu1495,no name,conserved hypothetical protein,AE007869.2,complement(1484415-1485197)
AAK87287.1,Atu1496,metS,methionyl-tRNA synthetase,AE007869.2,complement(1485208-1486758)
AAK87288.2,Atu1497,holB,"DNA polymerase III, delta prime subunit",AE007869.2,complement(1486870-1487895)
AAK87289.2,Atu1498,tmk,thymydilate kinase,AE007869.2,complement(1487888-1488454)
AAK87290.2,Atu1499,dac,penicillin binding protein,AE007869.2,complement(1488694-1489866)
AAK87291.2,Atu1500,rlpA,rare lipoprotein A,AE007869.2,complement(1489940-1490983)
AAK87292.2,Atu1501,no name,hypothetical protein,AE007869.2,1491357-1491701
AAK87293.1,Atu8017,no name,hypothetical protein,AE007869.2,complement(1492025-1492189)
AAK87294.1,Atu1503,no name,hypothetical protein,AE007869.2,complement(1492519-1492746)
AAK87295.1,Atu8090,no name,conserved hypothetical protein,AE007869.2,1493163-1493882
AAK87296.2,Atu1505,dac,penicillin-binding protein,AE007869.2,1494021-1495520
AAK87297.1,Atu1506,no name,hypothetical protein,AE007869.2,1495604-1495864
AAK87298.2,Atu1507,gyrA,DNA gyrase subunit A,AE007869.2,complement(1495961-1498681)
AAK87299.1,Atu1508,no name,conserved hypothetical protein,AE007869.2,1498971-1499600
AAK87300.1,Atu1509,no name,conserved hypothetical protein,AE007869.2,1499733-1500881
AAK87301.2,Atu1510,no name,conserved hypothetical protein,AE007869.2,complement(1500923-1501213)
AAK87302.1,Atu1511,no name,conserved hypothetical protein,AE007869.2,complement(1501206-1501472)
AAK87303.2,Atu1512,ssb,single-strand DNA binding protein,AE007869.2,complement(1501563-1502084)
AAK87304.2,Atu1513,uvrA,ABC excinuclease subunit A,AE007869.2,1502391-1505312
AAK87305.2,Atu1514,no name,conserved hypothetical protein,AE007869.2,1505366-1506166
AAK87306.1,Atu1515,no name,conserved hypothetical protein,AE007869.2,complement(1506173-1507183)
AAK87307.2,Atu1516,no name,conserved hypothetical protein,AE007869.2,1507322-1508011
AAK87308.2,Atu1517,no name,conserved hypothetical protein,AE007869.2,1508043-1508573
AAK87309.1,Atu1518,zur,"transcriptional regulator, Fur family",AE007869.2,complement(1508616-1509029)
AAK87310.2,Atu1519,znuB,"ABC transporter, membrane spanning protein (zinc)",AE007869.2,complement(1509026-1509844)
AAK87311.1,Atu1520,znuC,"ABC transporter, nucleotide binding/ATPase protein (zinc)",AE007869.2,complement(1509837-1510736)
AAK87312.2,Atu1521,znuA,"ABC transporter, substrate binding protein (zinc)",AE007869.2,1510841-1511830
AAK87313.2,Atu1522,no name,"transcriptional regulator, LacI family",AE007869.2,complement(1511852-1512871)
AAK87314.2,Atu1523,manA,beta-mannosidase precursor,AE007869.2,1513408-1515891
AAK87315.2,Atu1524,no name,conserved hypothetical protein,AE007869.2,1515995-1517026
AAK87316.1,Atu1525,no name,conserved hypothetical protein,AE007869.2,1517218-1517544
AAK87317.1,Atu1526,gntZ,"6-phosphogluconate dehydrogenase, decarboxylating",AE007869.2,complement(1517611-1519041)
AAL42532.1,Atu1527,fixS,nitrogen fixation protein FixS,AE007869.2,complement(1519193-1519354)
AAK87318.1,Atu1528,fixI,nitrogen fixation protein FixI,AE007869.2,complement(1519351-1521642)
AAK87319.1,Atu1529,fixH,nitrogen fixation protein FixH,AE007869.2,complement(1521639-1522139)
AAK87320.1,Atu1530,fixG,nitrogen fixation protein FixG,AE007869.2,complement(1522136-1523719)
AAK87321.2,Atu1531,no name,conserved hypothetical protein,AE007869.2,1523840-1524244
AAK87322.2,Atu1532,no name,glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein,AE007869.2,1524256-1524612
AAK87323.2,Atu1533,no name,glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein,AE007869.2,1524629-1525075
AAK87324.1,Atu1534,fixP,"cytochrome-c oxidase, FixP chain",AE007869.2,complement(1525124-1525987)
AAL42540.1,Atu1535,fixQ,"cytochrome c oxidase, FixQ chain",AE007869.2,complement(1525991-1526143)
AAK87325.1,Atu1536,fixO,"cytochrome C oxidase, FixO chain",AE007869.2,complement(1526156-1526887)
AAK87326.2,Atu1537,fixN,"cytochrome-c oxidase, FixN chain",AE007869.2,complement(1526898-1528520)
AAK87327.1,Atu1539,hvsT,sulfate permease,AE007869.2,1528866-1530479
AAK87328.1,Atu1540,no name,conserved hypothetical protein,AE007869.2,1530476-1531093
AAK87329.1,Atu1541,no name,conserved hypothetical protein,AE007869.2,1531090-1533165
AAK87330.1,Atu1542,cobP,Bifunctional adenosylcobalamin biosynthesis protein cobP,AE007869.2,complement(1533221-1533742)
AAK87331.2,Atu1544,no name,conserved hypothetical protein,AE007869.2,1534244-1534936
AAK87332.1,Atu1545,no name,conserved hypothetical protein,AE007869.2,1535030-1535995
AAK87333.1,Atu1546,no name,"transcriptional regulator, MerR family",AE007869.2,complement(1536180-1536566)
AAK87334.2,Atu1547,mgtE,magnesium transport protein,AE007869.2,complement(1536638-1538065)
AAK87335.1,Atu1548,fdhF,formate dehydrogenase H alpha subunit,AE007869.2,1538392-1540758
AAK87336.1,Atu1549,no name,hypothetical protein,AE007869.2,1540748-1541074
AAK87337.1,Atu1550,def,polypeptide deformylase,AE007869.2,1541091-1541585
AAK87338.2,Atu1551,no name,hypothetical protein,AE007869.2,complement(1541589-1542017)
AAK87339.1,Atu8158,no name,hypothetical protein,AE007869.2,1542139-1542306
AAK87340.1,Atu1553,no name,conserved hypothetical protein,AE007869.2,complement(1542378-1542803)
AAL42559.1,Atu1554,no name,hypothetical protein,AE007869.2,1543000-1543188
AAK87341.2,Atu1556,lipB,lipoate biosynthesis protein B,AE007869.2,1543672-1544373
AAK87342.2,Atu1557,no name,alcohol dehydrogenase,AE007869.2,1544440-1545507
AAK87343.2,Atu1558,no name,permease,AE007869.2,1545618-1546514
AAK87344.2,Atu1559,no name,conserved hypothetical protein,AE007869.2,complement(1546526-1546984)
AAK87345.1,Atu1560,crtB,phytoene synthase,AE007869.2,complement(1547108-1547953)
AAK87346.1,Atu1561,no name,conserved hypothetical protein,AE007869.2,complement(1547977-1548369)
AAK87347.2,Atu1562,secD,protein-export membrane protein SECD,AE007869.2,complement(1548369-1550942)
AAK87348.1,Atu1563,yajC,preprotein tranlocase protein,AE007869.2,complement(1551025-1551372)
AAK87349.2,Atu1564,no name,conserved hypothetical protein,AE007869.2,1551580-1552452
AAK87350.2,Atu1565,cysE,serine acetyltransferase,AE007869.2,complement(1552458-1553060)
AAL42570.2,Atu1566,no name,hypothetical protein,AE007869.2,complement(1553110-1553352)
AAK87351.2,Atu1567,fdhA,glutathione-independent formaldehyde dehydrogenase,AE007869.2,1553545-1554741
AAK87352.1,Atu1568,no name,"transcriptional regulator, TetR family",AE007869.2,complement(1554829-1555491)
AAK87353.1,Atu1569,cyc,cytochrome P450,AE007869.2,1555607-1557001
AAK87354.1,Atu1570,no name,hypothetical protein,AE007869.2,complement(1557057-1557374)
AAK87355.2,Atu1571,cysE,serine acetyltransferase,AE007869.2,complement(1557381-1558205)
AAK87356.2,Atu1572,no name,hydrolase,AE007869.2,complement(1558406-1559182)
AAK87357.2,Atu1573,no name,hypothetical protein,AE007869.2,1559353-1559598
AAK87358.1,Atu1574,nah,salicylate hydroxylase,AE007869.2,1559628-1560809
AAK87359.1,Atu1575,metC,cystathionine beta lyase,AE007869.2,complement(1560819-1562006)
AAK87360.2,Atu1577,no name,"ABC transporter, substrate binding protein (amino acid)",AE007869.2,1562468-1563406
AAK87361.2,Atu1578,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007869.2,1563516-1564712
AAK87362.1,Atu1579,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007869.2,1564715-1565872
AAK87363.1,Atu1580,no name,"ABC transporter, nucleotide binding/ATPase protein (amino acid)",AE007869.2,1565885-1566658
AAL42585.2,Atu1581,no name,hypothetical protein,AE007869.2,1566877-1567032
AAL42587.1,Atu1584,no name,hypothetical protein,AE007869.2,1567482-1567700
AAK87366.1,Atu1586,recJ,single-stranded-DNA-specific exonuclease,AE007869.2,complement(1567992-1569800)
AAK87367.2,Atu1587,no name,hypothetical protein,AE007869.2,1569892-1570140
AAK87368.2,Atu1588,hom,homoserine dehydrogenase,AE007869.2,complement(1570331-1571641)
AAK87369.2,Atu1589,no name,"aminotransferase, class I",AE007869.2,complement(1571703-1572923)
AAK87370.2,Atu1590,iunH,inosine-uridine preferring nucleoside hydrolase,AE007869.2,complement(1573227-1574186)
AAK87371.2,Atu1591,no name,conserved hypothetical protein,AE007869.2,1574369-1575172
AAK87372.1,Atu1592,no name,hypothetical protein,AE007869.2,complement(1575229-1575924)
AAK87373.1,Atu1594,msbB,lipid A biosynthesis lauroyl acyltransferase,AE007869.2,complement(1576203-1577141)
AAK87374.1,Atu1595,no name,NADPH:quinone reductase,AE007869.2,complement(1577138-1578166)
AAK87375.1,Atu1596,fabF,3-oxoacyl-(acyl-carrier-protein) synthase II,AE007869.2,complement(1578309-1579589)
AAK87376.1,Atu1597,fabF,3-oxoacyl-(acyl-carrier-protein) synthase II,AE007869.2,complement(1579602-1580798)
AAK87377.1,Atu1599,fabZ,(3R)-Hydroxymyristoyl-(acyl carrier protein)- Dehydratase,AE007869.2,complement(1581007-1581486)
AAK87378.2,Atu1600,acpP,acyl carrier protein,AE007869.2,complement(1581576-1581860)
AAK87379.2,Atu1601,hemN,oxygen-independent coproporphyrinogen III oxidase,AE007869.2,complement(1581975-1583324)
AAK87380.1,Atu1602,fnrN,"transcriptional activator, Crp family",AE007869.2,1583538-1584263
AAK87382.1,Atu8159,no name,hypothetical protein,AE007869.2,complement(1584728-1585255)
AAK87383.2,Atu1604,phbC,poly-beta-hydroxybutyrate synthase,AE007869.2,1585294-1587153
AAK87384.1,Atu1605,sfsA,sugar fermentation stimulation protein,AE007869.2,1587185-1587904
AAK87385.1,Atu1606,map,methionine aminopeptidase,AE007869.2,1587933-1588769
AAK87386.2,Atu1607,radC,DNA repair protein,AE007869.2,1588783-1589625
AAK87387.1,Atu1608,no name,conserved hypothetical protein,AE007869.2,1589763-1590185
AAK87388.2,Atu1609,no name,conserved hypothetical protein,AE007869.2,1590187-1591926
AAK87389.1,Atu1610,dhs,2-dehydro-3-deoxyphosphoheptonate aldolase,AE007869.2,complement(1591996-1593372)
AAK87390.2,Atu1611,gor,glutathione reductase,AE007869.2,complement(1593624-1595012)
AAK87391.1,Atu8160,no name,conserved hypothetical protein,AE007869.2,complement(1595156-1595722)
AAK87392.2,Atu1613,rpiA,ribose 5-phosphate isomerase,AE007869.2,complement(1595739-1596419)
AAK87393.2,Atu1614,gph,phosphoglycolate phosphatase,AE007869.2,1596625-1597326
AAK87394.1,Atu1615,no name,conserved hypothetical protein,AE007869.2,complement(1597528-1599456)
AAK87395.2,Atu1616,fumC,fumarate hydratase,AE007869.2,1599895-1601286
AAK87396.1,Atu1617,no name,conserved hypothetical protein,AE007869.2,1601485-1602417
AAK87397.1,Atu1618,pyrG,CTP synthase,AE007869.2,complement(1602527-1604263)
AAK87398.2,Atu1619,secG,protein-export membrane protein SECG,AE007869.2,complement(1604315-1604788)
AAK87399.1,Atu1620,tpiA,triosephosphate isomerase,AE007869.2,complement(1604904-1605674)
AAK87400.1,Atu1621,no name,conserved hypothetical protein,AE007869.2,complement(1605887-1606768)
AAK87401.2,Atu1622,gyrB,DNA gyrase subunit B,AE007869.2,1606994-1609126
AAK87402.1,Atu1623,no name,pyridine nucleotide-disulphide oxidoreductase,AE007869.2,complement(1609532-1610548)
AAK87403.2,Atu1624,no name,"transcriptional regulator, TetR family",AE007869.2,1610646-1611305
AAK87404.2,Atu1625,no name,methyltransferase,AE007869.2,1611335-1612198
AAK87405.1,Atu1626,no name,NAD dependent epimerase/dehydratase family protein,AE007869.2,1612798-1613688
AAK87406.1,Atu1627,clpP,"ATP-dependent Clp protease, proteolytic subunit",AE007869.2,complement(1613696-1614304)
AAK87407.1,Atu1628,no name,conserved hypothetical protein,AE007869.2,complement(1614348-1614704)
AAL42631.2,Atu1629,no name,"transcriptional regulator, ArsR family",AE007869.2,complement(1614701-1615015)
AAK87408.1,Atu1630,no name,phospholipase D family protein,AE007869.2,1615171-1616727
AAK87409.2,Atu1631,rrpX,two component response regulator,AE007869.2,complement(1616742-1617491)
AAK87410.1,Atu1632,no name,dimethylglycine dehydrogenase,AE007869.2,complement(1617734-1620247)
AAK87411.2,Atu1633,kefA,potassium efflux system KEFA,AE007869.2,complement(1620412-1622919)
AAK87412.2,Atu1634,no name,conserved hypothetical protein,AE007869.2,1623203-1623457
AAK87413.1,Atu1636,no name,conserved hypothetical protein,AE007869.2,complement(1623854-1624291)
AAK87414.1,Atu1637,no name,hypothetical protein,AE007869.2,1624601-1624933
AAK87415.2,Atu8018,no name,hypothetical protein,AE007869.2,1625101-1625352
AAL42639.1,Atu1638,no name,hypothetical protein,AE007869.2,complement(1625641-1626096)
AAK87417.2,Atu1639,no name,hypothetical protein,AE007869.2,complement(1626083-1626310)
AAK87418.1,Atu1640,no name,hypothetical protein,AE007869.2,complement(1626403-1626651)
AAL42642.1,Atu1641,no name,hypothetical protein,AE007869.2,1626691-1626864
AAL42643.1,Atu1642,no name,hypothetical protein,AE007869.2,complement(1626940-1627131)
AAK87419.1,Atu1643,no name,conserved hypothetical protein,AE007869.2,1627179-1627616
AAK87420.1,Atu1644,no name,conserved hypothetical protein,AE007869.2,complement(1627675-1628280)
AAK87421.1,Atu1645,no name,"ABC transporter, substrate binding protein",AE007869.2,complement(1628296-1629666)
AAK87422.2,Atu1646,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,complement(1629675-1630511)
AAK87423.2,Atu1647,no name,"ABC transporter, membrane spanning protein",AE007869.2,complement(1630522-1631682)
AAK87424.1,Atu1648,no name,mandelate racemase/muconate lactonizing enzyme family protein,AE007869.2,1631826-1632809
AAK87425.1,Atu1649,no name,conserved hypothetical protein,AE007869.2,complement(1633064-1633894)
